#This file contains all special info about seeds.

#Format:
#seed_id;seed_level;crop_id;mature_id;reward1_id;reward2_id;manor_id;is_alternative;limit_for_seeds;limit_for_crops

### Gludio - #1

# Seed: Dark Coda
5016;10;5073;5103;1864;1878;1;0;8100;9000
# Alternative Dark Coda Seed
5650;10;5818;5838;1864;1878;1;1;22500;2250
# Seed: Red Coda
5017;13;5068;5098;1865;1879;1;0;8100;9000
# Alternative Red Coda Seed
5651;13;5819;5839;1865;1879;1;1;22500;2250
# Seed: Chilly Coda
5018;16;5065;5095;1866;1874;1;0;8100;9000
# Alternative Chilly Coda Seed
5652;16;5820;5840;1866;1874;1;1;22500;2250
# Seed: Blue Coda
5019;19;5067;5097;1867;1894;1;0;4050;4500
# Alternative Blue Coda Seed
5653;19;5821;5841;1867;1894;1;1;11250;1125
# Seed: Golden Coda
5020;22;5069;5099;1868;1876;1;0;2025;2250
# Alternative Golden Coda Seed
5654;22;5822;5842;1868;1876;1;1;5625;562
# Seed: Lute Coda
5021;25;5071;5101;1869;1895;1;0;1350;1500
# Alternative Lute Coda Seed
5655;25;5823;5843;1869;1895;1;1;3750;375
# Seed: Desert Coda
5022;28;5070;5100;1870;1877;1;0;2025;2250
# Alternative Desert Coda Seed
5656;28;5824;5844;1870;1877;1;1;5625;562
# Seed: Red Cobol
7051;31;5078;5108;1871;4042;1;0;2025;2250
# Seed: Alternative Red Cobol
7044;31;5825;5845;1871;4042;1;1;5625;562
# Seed: Chilly Cobol
7019;34;5075;5105;1872;1880;1;0;1620;1800
# Seed: Alternative Chilly Cobol
7033;34;5826;5846;1872;1880;1;1;4500;450
# Seed: Blue Cobol
5023;37;5077;5107;1873;4044;1;0;810;900
# Alternative Blue Cobol Seed
5657;37;5827;5847;1873;4044;1;1;2250;225
# Seed: Chilly Codran
7021;52;5085;5115;1869;4041;1;0;1012;1125
# Seed: Alternative Chilly Codran
7035;52;5833;5853;1869;4041;1;1;2812;281
# Seed: Blue Codran
7017;55;5087;5117;1870;1882;1;0;810;900
# Seed: Alternative Blue Codran
7031;55;5834;5854;1870;1882;1;1;2250;225
# Seed: Twin Codran
7057;58;5092;5122;1871;4040;1;0;810;900
# Seed: Alternative Twin Codran
7050;58;5835;5855;1871;4040;1;1;2250;225
# Seed: Great Codran
7028;61;5094;5124;1872;1881;1;0;540;600
# Seed: Alternative Great Codran
7042;61;5836;5856;1872;1881;1;1;1500;150
# Seed: Desert Codran
7023;64;5090;5120;1873;5550;1;0;405;450
# Seed: Alternative Desert Codran
7037;64;5837;5857;1873;5550;1;1;1125;112
# Seed: Alternative Blue Coba
6742;67;6548;6562;1894;4039;1;1;281;90
# Seed: Blue Coba
6768;67;6541;6555;1894;4039;1;0;101;360

### Dion - #2

# Seed: Blue Coda
5024;19;5067;5097;1867;1894;2;0;4194;4660
# Alternative Blue Coda Seed
5658;19;5821;5841;1867;1894;2;1;11650;1165
# Seed: Golden Coda
5025;22;5069;5099;1868;1876;2;0;2097;2330
# Alternative Golden Coda Seed
5659;22;5822;5842;1868;1876;2;1;5825;582
# Seed: Lute Coda
5026;25;5071;5101;1869;1895;2;0;1398;1553
# Alternative Lute Coda Seed
5660;25;5823;5843;1869;1895;2;1;3883;388
# Seed: Desert Coda
5027;28;5070;5100;1870;1877;2;0;2097;2330
# Alternative Desert Coda Seed
5661;28;5824;5844;1870;1877;2;1;5825;582
# Seed: Red Cobol
5028;31;5078;5108;1871;4042;2;0;2097;2330
# Alternative Red Cobol Seed
5662;31;5825;5845;1871;4042;2;1;5825;582
# Seed: Chilly Cobol
5029;34;5075;5105;1872;1880;2;0;1677;1864
# Alternative Chilly Cobol Seed
5663;34;5826;5846;1872;1880;2;1;4660;466
# Seed: Blue Cobol
7016;37;5077;5107;1873;4044;2;0;838;932
# Seed: Alternative Blue Cobol
7030;37;5827;5847;1873;4044;2;1;2330;233
# Seed: Thorn Cobol
5030;40;5082;5112;1864;5549;2;0;838;932
# Alternative Thorn Cobol Seed
5664;40;5828;5848;1864;5549;2;1;2330;233
# Seed: Golden Cobol
5031;43;5079;5109;1865;4039;2;0;838;932
# Alternative Golden Cobol Seed
5665;43;5829;5849;1865;4039;2;1;2330;233
# Seed: Great Cobol
5032;46;5084;5114;1866;1885;2;0;838;932
# Alternative Great Cobol Seed
